User Rating,Reviews,Price,Year,Genre
4.6,8393,17,2017,Non Fiction
4.3,3759,16,2011,Fiction
4.5,8580,46,2012,Non Fiction
4.7,3536,17,2010,Non Fiction
4.5,3673,4,2015,Non Fiction
4.4,15526,14,2016,Non Fiction
4.4,10559,2,2010,Fiction
4.7,23308,6,2016,Non Fiction
4.3,6740,20,2009,Fiction
4.7,19699,15,2017,Fiction
4.5,10101,8,2014,Fiction
4.2,2094,4,2011,Fiction
4.8,5898,8,2018,Fiction
4.3,13616,10,2013,Non Fiction
4.5,720,1,2009,Non Fiction
4.8,18613,5,2015,Fiction
4.9,21834,8,2016,Fiction
4.6,9769,13,2009,Fiction
4.3,29442,7,2017,Fiction
4.3,6143,8,2018,Fiction
4.6,7508,16,2017,Non Fiction
4.7,17323,4,2018,Non Fiction
4.3,18904,13,2017,Fiction
4.7,25001,11,2016,Non Fiction
4.6,6990,4,2013,Non Fiction
4.7,50482,7,2014,Fiction
4.8,14038,4,2018,Fiction
4.8,9568,9,2011,Fiction
4.7,4725,16,2017,Non Fiction
4.7,25001,11,2014,Non Fiction
4.8,11113,15,2015,Non Fiction
4.7,3729,18,2016,Non Fiction
4.8,8081,8,2014,Fiction
4.6,6669,12,2018,Non Fiction
4.5,26741,8,2010,Fiction
4.7,4725,16,2015,Non Fiction
4.8,7802,20,2019,Non Fiction
3.6,14982,19,2015,Fiction
4.5,3601,18,2018,Non Fiction
4.8,2774,0,2016,Non Fiction
4.9,5062,6,2018,Fiction
4.2,8747,19,2009,Fiction
4.4,637,20,2011,Non Fiction
4.6,10009,7,2013,Non Fiction
4.3,14493,18,2012,Fiction
4.6,10009,20,2012,Non Fiction
4.6,4149,32,2011,Non Fiction
4.6,36348,14,2014,Fiction
4.6,2580,9,2012,Non Fiction
4.8,6982,14,2013,Fiction
